timestamp_ms,current_A,stack_V,cell00_V,cell01_V,cell02_V,cell03_V,cell04_V,cell05_V
0x00002DE0,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002DEA,0x00000000,0x41C73127,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002DF4,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A1CB,0x40858937,0x40859168,0x40855810
0x00002DFE,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A1CB,0x40858937,0x40858106,0x40855810
0x00002E08,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40859168,0x40855810
0x00002E12,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40859168,0x40856042
0x00002E1C,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002E26,0x00000000,0x41C73127,0x4085999A,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002E30,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40859168,0x40855810
0x00002E3A,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40859168,0x40855810
0x00002E44,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40856042
0x00002E4E,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002E58,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002E62,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40856042
0x00002E6C,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858106,0x40855810
0x00002E76,0x00000000,0x41C73127,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40859168,0x40855810
0x00002E80,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002E8A,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002E94,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40859168,0x40855810
0x00002E9E,0x00000000,0x41C72D0E,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002EA8,0x00000000,0x41C726E9,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002EB2,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40856042
0x00002EBC,0x00000000,0x41C72D0E,0x40858937,0x408570A4,0x4085A9FC,0x40859168,0x40859168,0x40855810
0x00002EC6,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40859168,0x40855810
0x00002ED0,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40859168,0x40856042
0x00002EDA,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40859168,0x40855810
0x00002EE4,0x00000000,0x41C73127,0x40858937,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002EEE,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40859168,0x40856042
0x00002EF8,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40856042
0x00002F02,0x00000000,0x41C73127,0x40858937,0x408578D5,0x4085A1CB,0x40858937,0x40858937,0x40855810
0x00002F0C,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40859168,0x40855810
0x00002F16,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085A9FC,0x40858937,0x40859168,0x40855810
0x00002F20,0x00000000,0x41C726E9,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858106,0x40855810
0x00002F2A,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002F34,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002F3E,0x00000000,0x41C7374C,0x4085999A,0x408578D5,0x4085A1CB,0x40858106,0x40859168,0x40855810
0x00002F48,0x00000000,0x41C72D0E,0x40859168,0x408578D5,0x4085A1CB,0x40858937,0x40858937,0x40856042
0x00002F52,0x00000000,0x41C722D1,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002F5C,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002F66,0x00000000,0x41C73B64,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002F70,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858106,0x40855810
0x00002F7A,0x00000000,0x41C73127,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002F84,0x00000000,0x41C72D0E,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40859168,0x40856042
0x00002F8E,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002F98,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A1CB,0x40858937,0x40859168,0x40855810
0x00002FA2,0x00000000,0x41C722D1,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002FAC,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40859168,0x40855810
0x00002FB6,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002FC0,0x00000000,0x41C73127,0x40858937,0x408570A4,0x4085A1CB,0x40858937,0x40858937,0x40855810
0x00002FCA,0x00000000,0x41C73B64,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002FD4,0x00000000,0x41C72D0E,0x40858937,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002FDE,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A1CB,0x40858937,0x40858937,0x40855810
0x00002FE8,0x00000000,0x41C73B64,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40859168,0x40855810
0x00002FF2,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002FFC,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00003006,0x00000000,0x41C72D0E,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00003010,0x00000000,0x41C73B64,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x0000301A,0x00000000,0x41C72D0E,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00003024,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A1CB,0x40858937,0x40858937,0x40855810
0x0000302E,0x00000000,0x41C73B64,0x40858937,0x408570A4,0x4085A1CB,0x40858937,0x40858937,0x40855810
0x00003038,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40859168,0x40856042
0x00003042,0x00000000,0x41C72D0E,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858106,0x40854FDF
0x0000304C,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00003056,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00003060,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x0000306A,0x00000000,0x41C73B64,0x40858937,0x408570A4,0x4085A1CB,0x408578D5,0x40858937,0x40855810
0x00003074,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x0000307E,0x00000000,0x41C73B64,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00003088,0x00000000,0x41C726E9,0x40859168,0x408578D5,0x4085A1CB,0x40858937,0x40859168,0x40855810
0x00003092,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x0000309C,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40859168,0x40856042
0x000030A6,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x000030B0,0x00000000,0x41C73B64,0x4085999A,0x408578D5,0x4085A9FC,0x40858106,0x40859168,0x40856042
0x000030BA,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x000030C4,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x000030CE,0x00000000,0x41C726E9,0x40858937,0x408570A4,0x4085A1CB,0x40858937,0x40858937,0x40855810
0x000030D8,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x000030E2,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x000030EC,0x00000000,0x41C73127,0x40858937,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x000030F6,0x00000000,0x41C722D1,0x40859168,0x408578D5,0x4085A1CB,0x40858937,0x40858937,0x40855810
0x00003100,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x0000310A,0x00000000,0x41C7374C,0x40858937,0x40856873,0x4085A9FC,0x40858937,0x40858937,0x40854FDF
0x00003114,0x00000000,0x41C726E9,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x0000311E,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085B22D,0x40858937,0x40858937,0x40855810
0x00003128,0x00000000,0x41C73B64,0x40858937,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00003132,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085A9FC,0x40858106,0x40859168,0x40855810
0x0000313C,0x00000000,0x41C72D0E,0x40858937,0x408578D5,0x4085A1CB,0x40858106,0x40859168,0x40855810
0x00003147,0x00000000,0x41C72D0E,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40858937,0x40856042
0x00003151,0x00000000,0x41C73B64,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40856042
0x0000315C,0x00000000,0x41C745A2,0x40858937,0x408570A4,0x4085A9FC,0x40858937,0x40859168,0x40855810
0x00003166,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40859168,0x40855810
0x00003170,0x00000000,0x41C73B64,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40859168,0x40855810
0x0000317A,0x00000000,0x41C74189,0x40858937,0x408570A4,0x4085A1CB,0x40858937,0x40858937,0x40856042
0x00003184,0x00000000,0x41C73B64,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x0000318E,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00003198,0x00000000,0x41C73B64,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40858937,0x40856042
